epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2117,1.71899,7.83431,0.98194,0.00333,0.88889,0.00934,0.00281,1.72178,4.67101,0.95223,0.0005,0.0005,0.0005
2,89.124,2.42474,4.59914,1.22657,0.00333,0.88889,0.14845,0.09543,1.77618,4.83716,1.01139,0.00115512,0.00115512,0.00115512
3,123.495,2.33365,3.97453,1.45467,0.00333,0.88889,0.44938,0.14638,1.93194,4.86205,1.16678,0.00179703,0.00179703,0.00179703
4,156.274,2.47332,3.6758,1.53009,0.00333,0.88889,0.03072,0.00673,1.80001,5.11799,1.29916,0.0019406,0.0019406,0.0019406
5,194.142,1.98713,4.39908,1.27538,0.00083,0.22222,0.00052,0.00027,1.92595,5.30706,1.46755,0.0019208,0.0019208,0.0019208
6,233.838,2.22757,3.09757,1.34036,0,0,0,0,2.05647,5.64218,1.67102,0.001901,0.001901,0.001901
7,285.014,1.87185,3.0064,1.23952,0.00083,0.22222,0.00049,0.00029,2.12242,5.55661,1.61872,0.0018812,0.0018812,0.0018812
8,323.56,1.72872,2.9878,1.23059,0.00292,0.77778,0.11936,0.04718,1.93872,5.04105,1.19482,0.0018614,0.0018614,0.0018614
9,357.592,1.517,3.06193,1.11119,0.00167,0.44444,0.00152,0.00059,2.09848,5.67512,1.21501,0.0018416,0.0018416,0.0018416
10,393.698,1.5813,2.62058,1.14388,0,0,0,0,3.70102,7.45188,2.40611,0.0018218,0.0018218,0.0018218
11,435.811,1.87286,2.59783,1.26054,0,0,0,0,3.22208,6.69166,2.26893,0.001802,0.001802,0.001802
12,473.704,2.04316,5.40219,1.19939,0,0,0,0,3.41424,6.4595,2.67787,0.0017822,0.0017822,0.0017822
13,509.494,1.46043,1.99162,1.10427,0,0,0,0,3.7357,6.79447,3.22317,0.0017624,0.0017624,0.0017624
14,548.517,1.57534,2.39858,1.14214,0,0,0,0,3.37007,5.84187,2.50138,0.0017426,0.0017426,0.0017426
15,580.593,1.77338,2.21258,1.23116,0.00125,0.33333,0.00043,0.0001,3.20131,6.17835,2.81971,0.0017228,0.0017228,0.0017228
16,620.52,1.50944,1.69771,1.11952,0,0,0,0,2.80127,5.93726,3.29947,0.001703,0.001703,0.001703
17,655.455,1.75052,2.36055,1.15688,0.00042,0.11111,6e-05,2e-05,3.34523,14.0807,5.08286,0.0016832,0.0016832,0.0016832
18,691.542,1.54644,1.94567,1.07419,0,0,0,0,4.56046,32.409,8.9639,0.0016634,0.0016634,0.0016634
19,733.384,1.80357,2.37814,1.20674,0,0,0,0,4.89016,1136.92,19.3852,0.0016436,0.0016436,0.0016436
20,784.217,1.58684,1.89526,1.10454,0,0,0,0,4.38887,1253.22,10.3277,0.0016238,0.0016238,0.0016238
21,829.813,1.63266,1.85935,1.17917,0,0,0,0,3.78976,686.02,4.90509,0.001604,0.001604,0.001604
22,871.619,1.14209,4.07099,0.84424,0,0,0,0,2.85198,73.9979,3.08046,0.0015842,0.0015842,0.0015842
23,906.862,1.58076,1.92098,1.07854,0.00333,0.88889,0.00405,0.00191,1.54557,5.16292,1.59628,0.0015644,0.0015644,0.0015644
24,942.305,1.92966,2.73948,1.33512,0.60388,0.44444,0.54816,0.33625,1.60289,3.53945,1.3827,0.0015446,0.0015446,0.0015446
25,978.205,0.9587,3.53655,0.76329,0.00375,1,0.276,0.13835,2.29603,3.9272,1.86075,0.0015248,0.0015248,0.0015248
26,1014.75,1.50314,1.60314,1.1297,0.00167,0.44444,0.05954,0.02946,2.78004,4.5729,2.28398,0.001505,0.001505,0.001505
27,1049.73,1.48338,1.70355,1.03513,0.0025,0.66667,0.1982,0.08398,2.49624,4.25074,2.14208,0.0014852,0.0014852,0.0014852
28,1083.89,1.77056,1.73504,1.11325,0.03918,0.88889,0.64447,0.24373,2.24421,3.79886,1.9265,0.0014654,0.0014654,0.0014654
29,1132.64,1.64805,1.5566,1.15173,1,0.52453,0.79683,0.39622,1.88502,2.76262,1.62146,0.0014456,0.0014456,0.0014456
30,1172.59,1.53158,1.50289,1.13637,1,0.97908,0.995,0.49008,1.78184,1.82412,1.75223,0.0014258,0.0014258,0.0014258
31,1218.17,1.46502,1.41515,1.09265,0.98997,1,0.995,0.57704,1.50958,1.44268,1.42105,0.001406,0.001406,0.001406
32,1305.14,1.26948,1.61879,0.98955,1,0.98691,0.995,0.59979,1.34141,1.47246,1.20052,0.0013862,0.0013862,0.0013862
